branch_id,report_month,actual_deposits,deposit_target,deposit_attainment,new_accounts_opened,loan_originations,operating_expenses,num_employees,revenue_per_employee,csat_score,sla_adherence_rate,state,region
ACB-BR001,2024-04,33843632.33,32670107.94,1.0359,31,46,62919.32,9,120332.91,5.0,0.9091,TX,South
ACB-BR001,2024-05,37719978.62,32670107.94,1.1546,38,25,48939.69,9,134115.48,4.4,0.9624,TX,South
ACB-BR001,2024-06,32555150.56,32670107.94,0.9965,26,33,59499.25,9,115751.65,3.3,0.9244,TX,South
ACB-BR001,2024-07,30905627.47,32670107.94,0.946,34,37,40773.63,9,109886.68,4.7,0.9522,TX,South
ACB-BR001,2024-08,34531128.71,32670107.94,1.057,25,17,56602.53,9,122777.35,3.1,0.8402,TX,South
ACB-BR001,2024-09,26309828.87,32670107.94,0.8053,33,35,47422.27,9,93546.06,4.4,0.91,TX,South
ACB-BR001,2024-10,26897171.78,32670107.94,0.8233,25,33,50144.21,9,95634.39,3.7,0.9023,TX,South
ACB-BR001,2024-11,28955055.28,32670107.94,0.8863,25,52,46909.35,9,102951.31,4.1,0.8803,TX,South
ACB-BR001,2024-12,28255055.53,32670107.94,0.8649,26,35,44822.85,9,100462.42,4.7,0.889,TX,South
ACB-BR001,2025-01,38744387.39,32670107.94,1.1859,25,26,45174.05,9,137757.82,3.4,0.9677,TX,South
ACB-BR001,2025-02,39728490.46,32670107.94,1.2161,31,38,50024.49,9,141256.85,3.9,0.9701,TX,South
ACB-BR001,2025-03,29460688.48,32670107.94,0.9018,33,29,63050.04,9,104749.11,4.4,0.9214,TX,South
ACB-BR001,2025-04,33032344.53,32670107.94,1.0111,32,45,43923.87,9,117448.34,3.9,0.9479,TX,South
ACB-BR001,2025-05,29372791.14,32670107.94,0.8991,21,34,47270.83,9,104436.59,4.3,0.9044,TX,South
ACB-BR001,2025-06,28437955.77,32670107.94,0.8705,28,28,57727.63,9,101112.73,3.9,0.9174,TX,South
ACB-BR001,2025-07,30838230.08,32670107.94,0.9439,26,36,44348.24,9,109647.04,4.6,0.9908,TX,South
ACB-BR001,2025-08,30090295.0,32670107.94,0.921,27,36,39068.62,9,106987.72,4.3,0.8124,TX,South
ACB-BR001,2025-09,33130925.06,32670107.94,1.0141,38,33,43267.89,9,117798.84,3.4,0.9529,TX,South
ACB-BR001,2025-10,34655488.66,32670107.94,1.0608,27,24,50118.54,9,123219.52,4.0,0.9685,TX,South
ACB-BR001,2025-11,30228131.4,32670107.94,0.9253,24,29,49114.12,9,107477.8,4.7,0.8218,TX,South
ACB-BR001,2025-12,32938558.64,32670107.94,1.0082,20,33,51144.58,9,117114.88,3.7,0.8444,TX,South
ACB-BR001,2026-01,38751346.83,32670107.94,1.1861,22,23,55655.57,9,137782.57,3.5,0.7483,TX,South
ACB-BR001,2026-02,29968218.08,32670107.94,0.9173,28,44,52103.15,9,106553.66,4.1,0.9417,TX,South
ACB-BR001,2026-03,29941544.66,32670107.94,0.9165,34,42,48383.3,9,106458.83,4.3,0.9518,TX,South
ACB-BR002,2024-04,43184248.65,44086983.87,0.9795,27,34,69395.31,13,106299.69,3.7,0.9665,TX,South
ACB-BR002,2024-05,41121286.35,44086983.87,0.9327,27,32,71690.04,13,101221.63,4.1,0.8861,TX,South
ACB-BR002,2024-06,50911519.93,44086983.87,1.1548,29,37,69175.2,13,125320.66,3.6,0.9321,TX,South
ACB-BR002,2024-07,44721485.74,44086983.87,1.0144,33,32,71996.87,13,110083.66,3.9,0.9454,TX,South
