loan_id,customer_id,loan_type,origination_date,loan_amount,outstanding_balance,interest_rate,term_months,loan_status,days_past_due,is_npl,branch_originated
ACB-LN0000001,ACB-C005041,Auto Loan,2019-12-02,33973.89,20837.68,0.0883,240.0,Paid Off,0,0,ACB-BR043
ACB-LN0000002,ACB-C006377,Mortgage,2019-09-11,592120.26,109140.9,0.0507,84.0,Current,0,0,ACB-BR070
ACB-LN0000003,ACB-C005150,Home Equity Loan,2023-03-17,98546.22,61813.9,0.14,48.0,Current,0,0,ACB-BR066
ACB-LN0000004,ACB-C002741,Mortgage,2022-06-21,362202.99,194652.56,0.095,84.0,Current,0,0,ACB-BR052
ACB-LN0000005,ACB-C011209,Mortgage,2024-08-23,289774.85,196991.06,0.0615,24.0,Current,0,0,ACB-BR047
ACB-LN0000006,ACB-C000394,Mortgage,2024-04-16,366948.91,222464.63,0.095,48.0,Current,0,0,ACB-BR020
ACB-LN0000007,ACB-C003191,Student Loan,2021-04-12,43587.41,21951.92,0.0806,240.0,Current,0,0,ACB-BR049
ACB-LN0000008,ACB-C005658,Mortgage,2024-01-10,136249.54,56213.44,0.0792,120.0,90+ DPD,132,1,ACB-BR031
ACB-LN0000009,ACB-C013345,Home Equity Loan,2019-01-18,41364.98,7206.7,0.0984,12.0,Default,332,1,ACB-BR044
ACB-LN0000010,ACB-C010751,Student Loan,2021-05-28,14244.46,7322.43,0.0892,240.0,Current,0,0,ACB-BR049
ACB-LN0000011,ACB-C000061,Mortgage,2023-08-12,378165.86,299491.74,0.0752,180.0,Current,0,0,ACB-BR049
ACB-LN0000012,ACB-C006749,Auto Loan,2019-08-26,30805.87,3041.23,,12.0,Current,0,0,ACB-BR007
ACB-LN0000013,ACB-C009744,Mortgage,2022-10-30,288499.35,106147.89,0.0928,12.0,90+ DPD,117,1,ACB-BR002
ACB-LN0000014,ACB-C014802,Mortgage,2024-09-26,326927.23,305454.84,0.0881,180.0,Current,0,0,ACB-BR078
ACB-LN0000015,ACB-C011069,Auto Loan,2022-12-17,43973.38,34098.42,0.08,240.0,Current,0,0,ACB-BR054
ACB-LN0000016,ACB-C005771,Small Business Loan,2020-10-17,182709.31,155919.33,0.1138,24.0,Current,0,0,ACB-BR039
ACB-LN0000017,ACB-C011149,Mortgage,2021-06-06,250356.85,15836.77,0.051,60.0,Current,0,0,ACB-BR076
ACB-LN0000018,ACB-C012039,Auto Loan,2020-06-27,41236.79,19001.86,0.1255,48.0,Current,0,0,ACB-BR014
ACB-LN0000019,ACB-C006608,Auto Loan,2021-06-27,38336.03,5096.44,0.0515,360.0,Current,0,0,ACB-BR051
ACB-LN0000020,ACB-C009648,Personal Loan,2020-04-18,30220.41,8136.4,0.1231,12.0,Current,0,0,ACB-BR039
ACB-LN0000021,ACB-C000372,Mortgage,2020-04-06,189571.93,15622.8,0.0538,48.0,Paid Off,0,0,ACB-BR079
ACB-LN0000022,ACB-C014483,Personal Loan,2021-10-11,26056.2,17096.51,0.0965,120.0,Current,0,0,ACB-BR040
ACB-LN0000023,ACB-C013682,Mortgage,2022-05-14,271244.44,176128.65,0.073,48.0,Current,0,0,ACB-BR039
ACB-LN0000024,ACB-C006004,Personal Loan,2021-04-04,27455.72,13379.56,0.0883,120.0,Current,0,0,ACB-BR003
ACB-LN0000025,ACB-C013505,Mortgage,2025-07-13,616993.29,357041.9,0.0587,240.0,Current,0,0,ACB-BR080
ACB-LN0000026,ACB-C012726,Home Equity Loan,2022-11-23,54233.35,30265.79,0.0933,12.0,30-59 DPD,37,0,ACB-BR070
ACB-LN0000027,ACB-C004705,Home Equity Loan,2019-01-27,74640.28,53715.17,0.0897,180.0,Current,0,0,ACB-BR041
ACB-LN0000028,ACB-C004053,Student Loan,2023-05-19,48044.34,44017.85,0.0768,180.0,Current,0,0,ACB-BR079
ACB-LN0000029,ACB-C004435,Personal Loan,2019-04-06,25858.1,16048.72,0.1232,36.0,Current,0,0,ACB-BR045
ACB-LN0000030,ACB-C013647,Personal Loan,2021-08-25,12701.38,8053.97,0.1034,12.0,30-59 DPD,35,0,ACB-BR021
ACB-LN0000031,ACB-C012878,Personal Loan,2025-07-30,29568.71,23159.97,0.1264,180.0,Current,0,0,ACB-BR068
ACB-LN0000032,ACB-C010584,Personal Loan,2022-01-23,21582.97,17530.85,0.193,12.0,Current,0,0,ACB-BR033
ACB-LN0000033,ACB-C011293,Personal Loan,2026-01-01,11338.45,6450.28,0.24,360.0,Current,0,0,ACB-BR044
ACB-LN0000034,ACB-C006537,Mortgage,2019-07-29,456739.59,262690.33,0.0549,48.0,30-59 DPD,37,0,ACB-BR080
ACB-LN0000035,ACB-C003788,Mortgage,2020-08-05,614026.1,578179.23,0.0594,84.0,30-59 DPD,45,0,ACB-BR036
ACB-LN0000036,ACB-C012722,Home Equity Loan,2025-01-21,95926.86,50437.28,0.105,120.0,30-59 DPD,56,0,ACB-BR065
ACB-LN0000037,ACB-C010937,Mortgage,2019-10-08,543993.55,75311.16,0.0405,60.0,Current,0,0,ACB-BR010
ACB-LN0000038,ACB-C001770,Personal Loan,2023-03-10,20087.92,16153.54,0.1642,84.0,Current,0,0,ACB-BR064
ACB-LN0000039,ACB-C001349,Auto Loan,2021-06-11,47216.6,43001.47,0.1269,48.0,60-89 DPD,74,0,ACB-BR051
ACB-LN0000040,ACB-C014625,Personal Loan,2024-10-17,2593.16,1714.65,0.1681,180.0,Current,0,0,ACB-BR022
ACB-LN0000041,ACB-C001945,Mortgage,2020-12-09,265112.65,220684.91,0.066,36.0,Current,0,0,ACB-BR026
ACB-LN0000042,ACB-C003308,Mortgage,2024-03-28,178412.62,32933.63,0.0669,48.0,Current,0,0,ACB-BR055
