flag_id,transaction_id,customer_id,flag_date,flag_category,flagged_amount,investigation_status,loss_amount,detection_method
ACB-RF0000001,ACB-TXN00000060,ACB-C011112,2024-10-19,Identity Theft,153.52,Under Review,0.0,ML Model
ACB-RF0000002,ACB-TXN00000169,ACB-C003611,2024-07-12,Unusual Geography,73.17,Under Review,35.99,Rules Engine
ACB-RF0000003,ACB-TXN00000224,ACB-C014984,2024-04-16,Transaction Velocity,10679.72,Confirmed Fraud,0.0,ML Model
ACB-RF0000004,ACB-TXN00000328,ACB-C013049,2025-09-30,Identity Theft,87.08,Under Review,0.0,Rules Engine
ACB-RF0000005,ACB-TXN00000401,ACB-C004053,2023-09-16,Identity Theft,23339.78,Under Review,6141.4,Rules Engine
ACB-RF0000006,ACB-TXN00000407,ACB-C007452,2025-04-27,Structuring,14425.23,Pending,7292.6,Rules Engine
ACB-RF0000007,ACB-TXN00000638,ACB-C013680,2023-08-29,Transaction Velocity,12653.28,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000008,ACB-TXN00000958,ACB-C007910,2026-03-12,Money Laundering Suspicion,596.96,Under Review,0.0,Customer Report
ACB-RF0000009,ACB-TXN00001115,ACB-C012525,2023-07-21,Account Takeover,286.17,Confirmed Fraud,51.43,Rules Engine
ACB-RF0000010,ACB-TXN00001917,ACB-C001686,2024-06-13,Account Takeover,5152.12,Under Review,0.0,ML Model
ACB-RF0000011,ACB-TXN00001982,ACB-C006555,2023-02-02,Identity Theft,40.0,False Positive,0.0,Rules Engine
ACB-RF0000012,ACB-TXN00002358,ACB-C010937,2025-07-27,Transaction Velocity,214.26,Confirmed Fraud,193.89,ML Model
ACB-RF0000013,ACB-TXN00002657,ACB-C006060,2024-03-10,Card Not Present,4516.09,Under Review,0.0,Rules Engine
ACB-RF0000014,ACB-TXN00002729,ACB-C006835,2025-06-21,Card Not Present,11864.85,Confirmed Fraud,0.0,Customer Report
ACB-RF0000015,ACB-TXN00002985,ACB-C014998,2025-01-26,Money Laundering Suspicion,17533.81,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000016,ACB-TXN00003463,ACB-C005110,2023-09-22,Identity Theft,75.44,Confirmed Fraud,60.73,Manual Review
ACB-RF0000017,ACB-TXN00003545,ACB-C005958,2023-04-26,Card Not Present,100.0,Confirmed Fraud,0.0,ML Model
ACB-RF0000018,ACB-TXN00003763,ACB-C011845,2023-12-14,Account Takeover,300.0,Under Review,147.59,ML Model
ACB-RF0000019,ACB-TXN00003904,ACB-C012461,2025-03-24,Account Takeover,229.79,False Positive,0.0,Manual Review
ACB-RF0000020,ACB-TXN00003919,ACB-C005512,2026-02-21,Identity Theft,29.3,Pending,0.0,Manual Review
ACB-RF0000021,ACB-TXN00004593,ACB-C013510,2024-05-27,Card Not Present,82.04,Under Review,59.53,Rules Engine
ACB-RF0000022,ACB-TXN00004802,ACB-C012645,2025-07-08,Account Takeover,66.95,Under Review,15.11,ML Model
ACB-RF0000023,ACB-TXN00004997,ACB-C006142,2024-11-30,Card Not Present,81.48,Under Review,0.0,Rules Engine
ACB-RF0000024,ACB-TXN00005017,ACB-C011271,2023-11-21,Card Not Present,6844.84,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000025,ACB-TXN00005020,ACB-C003353,2025-06-01,Transaction Velocity,239.98,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000026,ACB-TXN00005270,ACB-C009983,2023-04-04,Identity Theft,1104.63,Under Review,0.0,ML Model
ACB-RF0000027,ACB-TXN00005334,ACB-C007063,2025-08-21,Synthetic Identity,770.81,Under Review,300.81,Rules Engine
ACB-RF0000028,ACB-TXN00005536,ACB-C002993,2023-10-25,Account Takeover,955.22,Confirmed Fraud,0.0,ML Model
ACB-RF0000029,ACB-TXN00005641,ACB-C010406,2023-05-18,Unusual Geography,2037.23,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000030,ACB-TXN00006111,ACB-C006703,2024-12-06,Account Takeover,741.87,Under Review,267.04,Rules Engine
ACB-RF0000031,ACB-TXN00006196,ACB-C004434,2023-09-20,Identity Theft,80.0,Confirmed Fraud,12.04,ML Model
ACB-RF0000032,ACB-TXN00006303,ACB-C001293,2024-12-24,Card Not Present,548.58,Under Review,0.0,Rules Engine
ACB-RF0000033,ACB-TXN00006782,ACB-C000327,2025-09-16,Account Takeover,642.19,False Positive,0.0,ML Model
ACB-RF0000034,ACB-TXN00007043,ACB-C008242,2024-05-13,Card Not Present,282.5,False Positive,0.0,ML Model
ACB-RF0000035,ACB-TXN00008273,ACB-C000843,2023-02-01,Account Takeover,58.06,Under Review,0.0,Rules Engine
ACB-RF0000036,ACB-TXN00008461,ACB-C014021,2023-05-28,Identity Theft,19396.03,Confirmed Fraud,7743.9,Manual Review
ACB-RF0000037,ACB-TXN00008617,ACB-C013087,2025-05-06,Synthetic Identity,402.13,Confirmed Fraud,235.26,ML Model
ACB-RF0000038,ACB-TXN00008650,ACB-C003885,2023-09-04,Card Not Present,58.8,False Positive,0.0,Rules Engine
ACB-RF0000039,ACB-TXN00008819,ACB-C004028,2024-02-07,Account Takeover,200.0,Under Review,0.0,Rules Engine
ACB-RF0000040,ACB-TXN00009085,ACB-C009631,2026-03-17,Transaction Velocity,816.19,Confirmed Fraud,0.0,ML Model
ACB-RF0000041,ACB-TXN00009337,ACB-C000445,2026-03-18,Unusual Geography,709.14,False Positive,28.21,Rules Engine
ACB-RF0000042,ACB-TXN00009646,ACB-C007749,2024-02-01,Money Laundering Suspicion,40.0,False Positive,0.0,Rules Engine
ACB-RF0000043,ACB-TXN00009656,ACB-C004178,2025-07-31,Account Takeover,60.0,False Positive,0.0,Rules Engine
ACB-RF0000044,ACB-TXN00009692,ACB-C004152,2025-12-08,Card Not Present,500.0,Confirmed Fraud,453.12,Rules Engine
ACB-RF0000045,ACB-TXN00009795,ACB-C011915,2023-06-09,Card Not Present,132.54,Confirmed Fraud,0.0,ML Model
ACB-RF0000046,ACB-TXN00010569,ACB-C000932,2025-02-26,Transaction Velocity,76420.5,Under Review,0.0,Rules Engine
ACB-RF0000047,ACB-TXN00010630,ACB-C001500,2024-11-03,Account Takeover,1853.75,Under Review,51.92,Rules Engine
ACB-RF0000048,ACB-TXN00010657,ACB-C009038,2023-07-16,Account Takeover,241.17,Confirmed Fraud,101.72,ML Model
ACB-RF0000049,ACB-TXN00011032,ACB-C002983,2024-06-19,Transaction Velocity,10966.46,False Positive,0.0,ML Model
ACB-RF0000050,ACB-TXN00011124,ACB-C014600,2026-02-20,Account Takeover,6061.63,Under Review,0.0,Rules Engine
ACB-RF0000051,ACB-TXN00011537,ACB-C010863,2023-08-27,Transaction Velocity,452.92,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000052,ACB-TXN00011982,ACB-C006462,2023-07-04,Unusual Geography,37.45,Pending,9.75,Rules Engine
ACB-RF0000053,ACB-TXN00012013,ACB-C011334,2023-03-29,Card Not Present,3979.87,False Positive,0.0,Manual Review
ACB-RF0000054,ACB-TXN00012430,ACB-C002422,2024-10-18,Account Takeover,315.34,Under Review,0.0,Rules Engine
ACB-RF0000055,ACB-TXN00012591,ACB-C010826,2024-03-25,Identity Theft,20554.89,False Positive,0.0,Manual Review
ACB-RF0000056,ACB-TXN00013048,ACB-C001419,2025-05-19,Transaction Velocity,992.9,Under Review,0.0,Rules Engine
ACB-RF0000057,ACB-TXN00013308,ACB-C008958,2023-05-25,Identity Theft,100.0,Under Review,19.24,Manual Review
ACB-RF0000058,ACB-TXN00013923,ACB-C012243,2024-05-06,Card Not Present,430.44,Under Review,0.0,Customer Report
ACB-RF0000059,ACB-TXN00013941,ACB-C000368,2023-07-06,Card Not Present,172.77,Confirmed Fraud,48.05,Rules Engine
ACB-RF0000060,ACB-TXN00014023,ACB-C013946,2023-04-21,Account Takeover,9664.6,Confirmed Fraud,0.0,ML Model
