transaction_id,customer_id,branch_id,transaction_date,transaction_type,channel,amount,status,is_fraud_flag,currency
ACB-TXN00000001,ACB-C005253,ACB-BR009,2023-11-10,Withdrawal,Online Banking,132.11,Completed,0,USD
ACB-TXN00000002,ACB-C013077,ACB-BR073,2025-10-02,Bill Payment,Mobile App,293.21,Completed,0,USD
ACB-TXN00000003,ACB-C008557,ACB-BR050,2023-10-30,Bill Payment,Mobile App,231.02,Completed,0,USD
ACB-TXN00000004,ACB-C014375,ACB-BR040,2025-09-15,POS Purchase,Branch,68.06,Completed,0,USD
ACB-TXN00000005,ACB-C004348,ACB-BR075,2025-03-24,Withdrawal,Online Banking,73.05,Completed,0,USD
ACB-TXN00000006,ACB-C011329,ACB-BR013,2025-01-08,ATM Withdrawal,Mobile App,40.0,Reversed,0,USD
ACB-TXN00000007,ACB-C013409,ACB-BR078,2024-02-09,Withdrawal,Mobile App,135.58,Pending,0,USD
ACB-TXN00000008,ACB-C010783,ACB-BR036,2023-05-09,Direct Deposit,,1890.28,Completed,0,USD
ACB-TXN00000009,ACB-C005625,ACB-BR035,2024-08-02,Deposit,Online Banking,1252.9,Completed,0,USD
ACB-TXN00000010,ACB-C002591,ACB-BR017,2025-01-23,Direct Deposit,ATM,2230.06,Completed,0,USD
ACB-TXN00000011,ACB-C007054,ACB-BR079,2023-08-20,Deposit,Mobile App,158.23,Completed,0,USD
ACB-TXN00000012,ACB-C008846,ACB-BR020,2024-02-18,Transfer,ATM,1182.81,Completed,0,USD
ACB-TXN00000013,ACB-C005303,ACB-BR036,2024-07-19,POS Purchase,ATM,52.52,Completed,0,USD
ACB-TXN00000014,ACB-C006079,ACB-BR065,2023-07-31,Wire Transfer,Mobile App,13578.78,Completed,0,USD
ACB-TXN00000015,ACB-C005303,ACB-BR059,2025-10-13,Bill Payment,Mobile App,269.98,Completed,0,USD
ACB-TXN00000016,ACB-C010742,ACB-BR069,2023-04-12,Bill Payment,Branch,407.55,Completed,0,USD
ACB-TXN00000017,ACB-C005606,ACB-BR037,2023-04-25,Deposit,Mobile App,1199.93,Completed,0,USD
ACB-TXN00000018,ACB-C005716,ACB-BR047,2024-11-25,Bill Payment,Online Banking,223.54,Completed,0,USD
ACB-TXN00000019,ACB-C004304,ACB-BR046,2024-08-02,Direct Deposit,Branch,1343.07,Completed,0,USD
ACB-TXN00000020,ACB-C014647,ACB-BR048,2025-01-16,Deposit,Telephone,1904.84,Completed,0,USD
ACB-TXN00000021,ACB-C006821,ACB-BR054,2024-11-19,ATM Withdrawal,Mobile App,40.0,Completed,0,USD
ACB-TXN00000022,ACB-C009857,ACB-BR069,2026-02-12,Transfer,Mobile App,2060.6,Completed,0,USD
ACB-TXN00000023,ACB-C008531,ACB-BR019,2024-05-07,Deposit,Online Banking,3022.02,Completed,0,USD
ACB-TXN00000024,ACB-C003348,ACB-BR075,2024-08-16,POS Purchase,Online Banking,794.03,Completed,0,USD
ACB-TXN00000025,ACB-C004198,ACB-BR030,2024-12-24,Withdrawal,ATM,81.07,Completed,0,USD
ACB-TXN00000026,ACB-C011954,ACB-BR021,2024-12-29,Transfer,Mobile App,11376.5,Completed,0,USD
ACB-TXN00000027,ACB-C005501,ACB-BR042,2024-11-19,Deposit,Branch,2680.11,Completed,0,USD
