loan_type,risk_tier,total_loans,delinquent_30plus,npl_count,total_outstanding,npl_balance,delinquency_rate,npl_ratio
Auto Loan,1,294,63,32,4844393.03,581073.27,21.428571428571427,11.99475902144133
Auto Loan,2,499,88,43,8179672.72,735941.1000000001,17.635270541082164,8.997194939114877
Auto Loan,3,424,70,35,6841233.15,498925.82,16.50943396226415,7.292922329361044
Auto Loan,4,193,31,20,3249074.12,323961.27,16.06217616580311,9.970879642474886
Auto Loan,5,140,28,12,2226770.55,222425.88999999998,20.0,9.988720660958984
Home Equity Loan,1,143,30,18,5046139.69,628093.83,20.97902097902098,12.44701630525016
Home Equity Loan,2,202,37,20,6474686.48,622018.97,18.316831683168317,9.60693574772133
Home Equity Loan,3,210,36,17,6666819.4,562858.97,17.142857142857142,8.442691127946258
Home Equity Loan,4,112,21,13,3698364.58,527750.3,18.75,14.269828963157549
Home Equity Loan,5,60,5,4,1997063.73,165529.72999999998,8.333333333333332,8.28865536504436
Mortgage,1,410,72,47,77179287.98,8923059.139999999,17.560975609756095,11.561468592859125
Mortgage,2,624,108,58,120827707.84,10999564.88,17.307692307692307,9.10351199789838
Mortgage,3,581,111,53,114296357.51,10744838.400000002,19.104991394148023,9.400858114887797
Mortgage,4,291,57,34,63294432.85,6641843.55,19.587628865979383,10.493566733965924
Mortgage,5,163,28,17,34994487.84,2763416.7600000002,17.177914110429448,7.896720113849794
Personal Loan,1,393,66,34,3914569.05,317794.73,16.793893129770993,8.118255826908968
Personal Loan,2,530,82,46,5330947.32,466668.33,15.471698113207546,8.753947506650658
Personal Loan,3,525,106,63,5063692.99,634425.19,20.19047619047619,12.528903139524655
Personal Loan,4,234,33,21,2218452.88,249974.48,14.102564102564102,11.267964366229858
Personal Loan,5,149,27,14,1415286.44,135587.84,18.120805369127517,9.580240166789135
Small Business Loan,1,107,18,15,7496850.85,886810.5800000001,16.822429906542055,11.829107951374011
Small Business Loan,2,166,21,14,12118989.77,964789.3200000001,12.650602409638553,7.960971486157134
Small Business Loan,3,141,28,19,10037328.16,1455981.1900000002,19.858156028368796,14.505664921888936
Small Business Loan,4,59,9,3,4492852.48,302132.13,15.254237288135593,6.72472847361327
Small Business Loan,5,45,8,3,2280295.83,138131.44,17.77777777777778,6.057610516263585
Student Loan,1,113,19,7,2277934.28,112689.86000000002,16.8141592920354,4.947019806032333
Student Loan,2,195,37,22,4565097.99,418175.43999999994,18.974358974358974,9.16027303063433
Student Loan,3,157,34,14,3438646.29,289732.9099999999,21.656050955414013,8.425784031424758
Student Loan,4,75,12,10,1442099.86,212833.89,16.0,14.75860971236763
Student Loan,5,47,12,9,939634.0,196558.80000000002,25.53191489361702,20.918655561633575
