customer_id,cluster,cluster_label
ACB-C000001,1,Stable Core Customer
ACB-C000002,0,Premium / Multi-Product
ACB-C000003,3,High Risk / Low Engagement
ACB-C000004,1,Stable Core Customer
ACB-C000005,1,Stable Core Customer
ACB-C000006,3,High Risk / Low Engagement
ACB-C000007,3,High Risk / Low Engagement
ACB-C000008,1,Stable Core Customer
ACB-C000009,1,Stable Core Customer
ACB-C000010,0,Premium / Multi-Product
ACB-C000011,0,Premium / Multi-Product
ACB-C000012,3,High Risk / Low Engagement
ACB-C000013,2,Developing / Building Credit
ACB-C000014,1,Stable Core Customer
ACB-C000015,0,Premium / Multi-Product
ACB-C000016,3,High Risk / Low Engagement
ACB-C000017,0,Premium / Multi-Product
ACB-C000018,1,Stable Core Customer
ACB-C000019,0,Premium / Multi-Product
ACB-C000020,0,Premium / Multi-Product
ACB-C000021,3,High Risk / Low Engagement
ACB-C000022,1,Stable Core Customer
ACB-C000023,1,Stable Core Customer
ACB-C000024,3,High Risk / Low Engagement
ACB-C000025,3,High Risk / Low Engagement
ACB-C000026,1,Stable Core Customer
ACB-C000027,0,Premium / Multi-Product
ACB-C000028,1,Stable Core Customer
ACB-C000029,0,Premium / Multi-Product
ACB-C000030,0,Premium / Multi-Product
ACB-C000031,3,High Risk / Low Engagement
ACB-C000032,0,Premium / Multi-Product
ACB-C000033,3,High Risk / Low Engagement
ACB-C000034,1,Stable Core Customer
ACB-C000035,3,High Risk / Low Engagement
ACB-C000036,1,Stable Core Customer
ACB-C000037,3,High Risk / Low Engagement
ACB-C000038,0,Premium / Multi-Product
ACB-C000039,0,Premium / Multi-Product
ACB-C000040,0,Premium / Multi-Product
ACB-C000041,0,Premium / Multi-Product
ACB-C000042,0,Premium / Multi-Product
ACB-C000043,1,Stable Core Customer
ACB-C000044,1,Stable Core Customer
ACB-C000045,0,Premium / Multi-Product
ACB-C000046,0,Premium / Multi-Product
ACB-C000047,1,Stable Core Customer
ACB-C000048,0,Premium / Multi-Product
ACB-C000049,1,Stable Core Customer
ACB-C000050,3,High Risk / Low Engagement
ACB-C000051,0,Premium / Multi-Product
ACB-C000052,3,High Risk / Low Engagement
ACB-C000053,0,Premium / Multi-Product
ACB-C000054,3,High Risk / Low Engagement
ACB-C000055,1,Stable Core Customer
ACB-C000056,1,Stable Core Customer
ACB-C000057,3,High Risk / Low Engagement
ACB-C000058,1,Stable Core Customer
ACB-C000059,1,Stable Core Customer
ACB-C000060,3,High Risk / Low Engagement
ACB-C000061,3,High Risk / Low Engagement
ACB-C000062,1,Stable Core Customer
ACB-C000063,3,High Risk / Low Engagement
ACB-C000064,0,Premium / Multi-Product
ACB-C000065,3,High Risk / Low Engagement
ACB-C000066,0,Premium / Multi-Product
ACB-C000067,1,Stable Core Customer
ACB-C000068,1,Stable Core Customer
ACB-C000069,1,Stable Core Customer
ACB-C000070,3,High Risk / Low Engagement
ACB-C000071,0,Premium / Multi-Product
ACB-C000072,0,Premium / Multi-Product
ACB-C000073,1,Stable Core Customer
ACB-C000074,3,High Risk / Low Engagement
ACB-C000075,0,Premium / Multi-Product
ACB-C000076,1,Stable Core Customer
ACB-C000077,0,Premium / Multi-Product
ACB-C000078,0,Premium / Multi-Product
ACB-C000079,0,Premium / Multi-Product
ACB-C000080,1,Stable Core Customer
ACB-C000081,3,High Risk / Low Engagement
ACB-C000082,3,High Risk / Low Engagement
ACB-C000083,1,Stable Core Customer
ACB-C000084,0,Premium / Multi-Product
ACB-C000085,0,Premium / Multi-Product
ACB-C000086,0,Premium / Multi-Product
ACB-C000087,0,Premium / Multi-Product
ACB-C000088,0,Premium / Multi-Product
ACB-C000089,3,High Risk / Low Engagement
ACB-C000090,1,Stable Core Customer
ACB-C000091,0,Premium / Multi-Product
ACB-C000092,3,High Risk / Low Engagement
ACB-C000093,0,Premium / Multi-Product
ACB-C000094,1,Stable Core Customer
ACB-C000095,3,High Risk / Low Engagement
ACB-C000096,1,Stable Core Customer
ACB-C000097,3,High Risk / Low Engagement
ACB-C000098,0,Premium / Multi-Product
ACB-C000099,3,High Risk / Low Engagement
ACB-C000100,3,High Risk / Low Engagement
ACB-C000101,0,Premium / Multi-Product
ACB-C000102,0,Premium / Multi-Product
ACB-C000103,1,Stable Core Customer
ACB-C000104,0,Premium / Multi-Product
ACB-C000105,3,High Risk / Low Engagement
ACB-C000106,0,Premium / Multi-Product
ACB-C000107,0,Premium / Multi-Product
ACB-C000108,0,Premium / Multi-Product
ACB-C000109,1,Stable Core Customer
ACB-C000110,0,Premium / Multi-Product
ACB-C000111,0,Premium / Multi-Product
ACB-C000112,1,Stable Core Customer
ACB-C000113,0,Premium / Multi-Product
ACB-C000114,0,Premium / Multi-Product
ACB-C000115,3,High Risk / Low Engagement
ACB-C000116,2,Developing / Building Credit
ACB-C000117,1,Stable Core Customer
ACB-C000118,1,Stable Core Customer
ACB-C000119,0,Premium / Multi-Product
ACB-C000120,1,Stable Core Customer
ACB-C000121,0,Premium / Multi-Product
ACB-C000122,0,Premium / Multi-Product
ACB-C000123,3,High Risk / Low Engagement
ACB-C000124,1,Stable Core Customer
ACB-C000125,3,High Risk / Low Engagement
ACB-C000126,3,High Risk / Low Engagement
ACB-C000127,0,Premium / Multi-Product
ACB-C000128,0,Premium / Multi-Product
ACB-C000129,3,High Risk / Low Engagement
ACB-C000130,1,Stable Core Customer
ACB-C000131,0,Premium / Multi-Product
ACB-C000132,2,Developing / Building Credit
ACB-C000133,3,High Risk / Low Engagement
ACB-C000134,0,Premium / Multi-Product
ACB-C000135,1,Stable Core Customer
ACB-C000136,0,Premium / Multi-Product
ACB-C000137,1,Stable Core Customer
ACB-C000138,3,High Risk / Low Engagement
ACB-C000139,3,High Risk / Low Engagement
ACB-C000140,0,Premium / Multi-Product
ACB-C000141,3,High Risk / Low Engagement
ACB-C000142,3,High Risk / Low Engagement
ACB-C000143,0,Premium / Multi-Product
ACB-C000144,1,Stable Core Customer
ACB-C000145,3,High Risk / Low Engagement
ACB-C000146,0,Premium / Multi-Product
ACB-C000147,1,Stable Core Customer
ACB-C000148,0,Premium / Multi-Product
ACB-C000149,2,Developing / Building Credit
ACB-C000150,0,Premium / Multi-Product
ACB-C000151,1,Stable Core Customer
ACB-C000152,0,Premium / Multi-Product
ACB-C000153,2,Developing / Building Credit
ACB-C000154,0,Premium / Multi-Product
ACB-C000155,0,Premium / Multi-Product
ACB-C000156,0,Premium / Multi-Product
ACB-C000157,0,Premium / Multi-Product
ACB-C000158,1,Stable Core Customer
ACB-C000159,1,Stable Core Customer
ACB-C000160,1,Stable Core Customer
ACB-C000161,1,Stable Core Customer
ACB-C000162,3,High Risk / Low Engagement
ACB-C000163,3,High Risk / Low Engagement
